row_id,condition,cond_row_id,matrix,base_idx,param_j,theta_id,eta,f_cl_i,f_cl_v,E_m_i,E_m_v,E_m_h,L_hat,gamma_s,E_b_v2,lambda,B_111,E_b_i2,E_b_hV_1,Z_i,Z_i_loop,E_a0_conv,dH2_conv,phi_max_junc,dH2_abs_conv,i_mobile,loop_net_chi,loop_net_w_c,loop_net_K_rec,s_i,Z_v,Z_p_i,Z_p_v,Z_gb_i,Z_gb_v,rho_d,d_g,rho_p,r_p,s_v
4619,S330,4619,S,19,-1,19,0.24871922678490935,0.12401708029210567,0.317274,0.4,0.59352511293786137,0.073504445612117275,10.0,2.2179468666938713,0.2129,0.71570901078164628,0.4666666666666667,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4620,S330,4620,S,20,-1,20,0.24871922678490935,0.12401708029210567,0.317274,0.55,0.59352511293786137,0.073504445612117275,10.0,2.2179468666938713,0.2129,0.71570901078164628,0.4666666666666667,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4621,S330,4621,S,21,-1,21,0.24871922678490935,0.12401708029210567,0.317274,0.25,0.59352511293786137,0.073504445612117275,173.20508075688775,2.2179468666938713,0.2129,0.71570901078164628,0.4666666666666667,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4622,S330,4622,S,22,-1,22,0.24871922678490935,0.12401708029210567,0.317274,0.4,0.59352511293786137,0.073504445612117275,173.20508075688775,2.2179468666938713,0.2129,0.71570901078164628,0.4666666666666667,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4623,S330,4623,S,23,-1,23,0.24871922678490935,0.12401708029210567,0.317274,0.55,0.59352511293786137,0.073504445612117275,173.20508075688775,2.2179468666938713,0.2129,0.71570901078164628,0.4666666666666667,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4624,S330,4624,S,24,-1,24,0.24871922678490935,0.12401708029210567,0.317274,0.25,0.59352511293786137,0.073504445612117275,3000.000000000001,2.2179468666938713,0.2129,0.71570901078164628,0.4666666666666667,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4625,S330,4625,S,25,-1,25,0.24871922678490935,0.12401708029210567,0.317274,0.4,0.59352511293786137,0.073504445612117275,3000.000000000001,2.2179468666938713,0.2129,0.71570901078164628,0.4666666666666667,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4626,S330,4626,S,26,-1,26,0.24871922678490935,0.12401708029210567,0.317274,0.55,0.59352511293786137,0.073504445612117275,3000.000000000001,2.2179468666938713,0.2129,0.71570901078164628,0.4666666666666667,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4627,S330,4627,S,27,-1,27,0.24871922678490935,0.12401708029210567,0.317274,0.25,0.59352511293786137,0.073504445612117275,10.0,2.2179468666938713,0.2129,0.71570901078164628,0.6,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
4628,S330,4628,S,28,-1,28,0.24871922678490935,0.12401708029210567,0.317274,0.4,0.59352511293786137,0.073504445612117275,10.0,2.2179468666938713,0.2129,0.71570901078164628,0.6,0.75,2.2131532812533066,1.35,1.1813004167750478,2.1,0.43945545381703549,0.83310446338728072,0.26,20,50.0,100.0,1e-06,1.6,1.0,1.45,0.93,1.4,0.93,100000000000000.0,1e-06,1e+20,2e-08,2.5
